"Use naming convention - ""asset name, date of last update (DD/MM/YY), author"". For ex, ""Brochure- Safety at Facebook, 06/11/19, Dessy""",Asset Name,Date,Author,"For multiple countries, list all and separate by comma. (For ex, Indonesia, Philippines, Singapore.) For regional assets, list ""APAC""",One Pager,Report,Case study,Presentation,Presentation templat,Logo/Brand Guidelines,Brochure,Video,Case Study-Video,Case Study - Written,Case Study - Micro business,Case Study - Small business,Case Study - Women entrepreneur,Narrative/ key messaging,Other (type your response),"For multiple languages and sub-titles, list and all and separate by comma. (For ex, Bahasa Indonesia, English, Mandarin)",SheMeans Business,Boost,We Think Digital,Research,Other (type your response),Economic impact,Social impact,Digital citizenship/ Digital skills,Other (type your response),Internal,External,"Permission given?
",,,,
Parents 2,Parents 2,,Dessy,Indonesia,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Safety,TRUE,FALSE,FALSE,https://www.dropbox.com/s/bof5wk6xh6geq46/Parents%202.jpg?dl=0,,,
Parents 3,Parents 3,,Dessy,Indonesia,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Safety,TRUE,FALSE,FALSE,https://www.dropbox.com/s/lt1g3f4qi4njk32/Parents%203.jpg?dl=0,,,
Newsfeed 101 - WAIST,Newsfeed 101 - WAIST,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Community Standards,TRUE,FALSE,FALSE,https://www.dropbox.com/s/ekmrkeq4rxioudv/190429_Facebook_WAIST_Infographic_V6_ONLINE_id_ID.pdf?dl=0,,,
East Indonesia Report,East Indonesia Report,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Report,English,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,https://www.dropbox.com/s/u9pwzgt2dresthh/East%20Indonesia%20Report%202018.pdf?dl=0,,,
Security Infographic,Security Infographic,,Dessy,Indonesia,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Safety,TRUE,FALSE,FALSE,https://www.dropbox.com/home/ID%20Pearl%20Consulting-FB%20Shared%20Space/Special%20Projects/Leave%20Behinds?preview=infographic+security.jpg,,,
Control Your Facebook,Control Your Facebook,,Dessy,Indonesia,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Safety,TRUE,FALSE,FALSE,https://www.dropbox.com/s/clilx5qpjp2y9rf/facebook-101-infographic%20ID.pdf?dl=0,,,
Think Before You Share - Recap,Think Before You Share - Recap,13-07-2018,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,,TRUE,TRUE,FALSE,,https://www.youtube.com/watch?v=VcjzzhqXtzw,x,https://www.youtube.com/watch?v=VcjzzhqXtzw
Think Before You Share - Animation,Think Before You Share - Animation,15-01-2019,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,https://drive.google.com/file/d/1eSaoKbMuhF8GFtEp_K6Kg7bkFYXXcwGb/view,,x,https://drive.google.com/file/d/1-9tdcDlNu4ysdDsSqJDZ8cenvjyqQnsI/view?usp=sharing
Laju Digital Gorontalo,Laju Digital Gorontalo,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,https://www.dropbox.com/s/6w7d27f3iszc8kr/Laju%20Digital%20Gorontalo%20V2.m4v?dl=0,,,
Laju Digital Makassar,Laju Digital Makassar,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,https://www.dropbox.com/s/iifkhr3p1apqu6k/Laju%20Digital%20Makassar%20V2.m4v?dl=0,,,
Laju Digital Manokwari,Laju Digital Manokwari,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,https://www.dropbox.com/s/a8jyeunhhp7p81n/Laju%20Digital%20Manokwari%20V2.m4v?dl=0,,,
Laju Digital Kupang,Laju Digital Kupang,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,https://www.dropbox.com/s/u9qxty1ljwxnhnk/Laju%20Digital%20Kupang%20V2.m4v?dl=0,,,
Laju Digital Jayapura,Laju Digital Jayapura,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,https://www.dropbox.com/s/6swtxhbnbfyhb34/Laju%20Digital%20Jayapura%20V2.m4v?dl=0,,,
Laju Digital Ambon,Laju Digital Ambon,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,https://www.dropbox.com/s/dw26n7m0vyfcgis/Laju%20Digital%20Ambon%20V2.m4v?dl=0,,,
Laju Digital Manado,Laju Digital Manado,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,https://www.dropbox.com/s/tsskr8sg84ibsol/Laju%20Digital%20Manado%20V2.m4v?dl=0,,,
Laju Digital Kendari ,Laju Digital Kendari,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,https://www.dropbox.com/s/1qixkl5od8g7akv/Laju%20Digital%20Kendari%20V2.m4v?dl=0,,,
Laju Digital Jakarta,Laju Digital Jakarta,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,https://www.dropbox.com/s/jl704xse8cuop9y/Laju%20Digital%20Jakarta_FINAL.mp4?dl=0,,,
Laju Digital Bandung,Laju Digital Bandung,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,n/a (testimony videos only),,,
Laju Digital Yogyakarta,Laju Digital Yogyakarta,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,https://www.dropbox.com/s/2xqr71lu2ndchs4/Facebook%20Laju%20Digital%20Yogyakarta_FINAL.mp4?dl=0,,,
Laju Digital Surabaya,Laju Digital Surabaya,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,n/a (testimony videos only),,,
Laju Digital Medan,Laju Digital Medan,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,n/a (testimony videos only),,,
Laju Digital Sizzle Reel,Laju Digital Sizzle Reel,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia/English,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,https://www.dropbox.com/s/xexagd8vu5h4nzj/FINAL%20DELIVERY_LAJU%20DIGITAL_IND%20%28VIDEO%202%29.mp4?dl=0,,,
Ruang Komunal Indonesia Anniversary,Ruang Komunal Indonesia Anniversary,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Community Building,TRUE,FALSE,FALSE,https://www.dropbox.com/home/APAC%20XFN/Indonesia/02_Community%20Hub?preview=V.4+-+Final+RUKI+Anniversary+Highlight+Video.mp4,,,
Ruang Komunal Indonesia 2018 - 2019 Recap,Ruang Komunal Indonesia 2018 - 2019 Recap,22-05-2019,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Community Building,TRUE,FALSE,FALSE,https://drive.google.com/file/d/1VBX-EHGMeegUHUCH14MohC-yzAUk9jl8/view?usp=sharing,,x,https://drive.google.com/file/d/1WuA1RZdCpeA2Du2ZU8XlzJlfcBHUWdR_/view?usp=sharing
Office Opening Video - Programs Recap (2017),Office Opening Video - Programs Recap,01-01-2017,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Company,TRUE,FALSE,FALSE,https://www.dropbox.com/s/ireev3m7zx6se9s/Facebook%20Programs%202017_Video%20Recap.mp4?dl=0,,,
Limit Audience,Limit Audience,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Poster,English,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Privacy,TRUE,FALSE,FALSE,https://www.dropbox.com/scl/fi/5640spi1lwn2thk4h1e6t/Make_facebook_your_facebook_Control_What_And_How_You_Share.png?dl=0&oref=e&r=AA_l4gyENZWQvSdppquKlsDqGlkDuz_VN8hWOqaXzkyFjqjghv86IIBuoSFxJ169szse7BFiKmaDXmGgFVyfSwenxIreH2eKSh9vlPtjCY2Ayh4jd284rq_k9_PIWeiIgondcOSAus9mc5qwB9JGUDzoFJbumHvxYWqzhO2jyRj3DxnVWIIFNy-RA8suq14E-KM&sm=1,,,
Three Dots,Three Dots,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Poster,English,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Privacy,TRUE,FALSE,FALSE,https://www.dropbox.com/scl/fi/6gaekn62qszwc6knos9rv/Make_facebook_your_facebook_Control_What_And_Who_You_Share_With.png?dl=0&oref=e&r=AA93VLdIfJqycRleqFPDX_I02YdY0zVnPDzwiNVdKlA-cfva3pihOzi3S5JlsqUUool14dwg_xI_PTBEDRdxi4joA2O8516qtAmp7sJE_XN4vYiRnyy4Pde8MjkkKOADElLoETivRJnQDi2c_QW0Zgo2qFve6OnHkqMQbj0KdbAUr2KR0dZXD5X4WFN4OHP7a0U&sm=1,,,
Posts from Friend and Family,Posts from Friend and Family,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Poster,English,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Privacy,TRUE,FALSE,FALSE,https://www.dropbox.com/scl/fi/gla7n9fc210vyv4qslaor/Make_facebook_your_facebook_Posts_From_Friends_And_Family.png?dl=0&oref=e&r=AA_3eU043J7PzfvGi9jT46HxHpDOTMsoamcXHEcitlOmRnfkxMYpCwxr1A1p0J1-f81-jXvzR3O8xIT4RLVr6rjle5oDsJ_OmUeSL-GdrmhffyC1vFwu8jQpHZypr9I6BCqOZSpuD1KJKaJrAQUv6_-t0_d_nRd3QDAoXjz4br2q8ea-NVKxEaNaDAOvdgilHp8&sm=1,,,
Privacy Check Up,Privacy Check Up,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Poster,English,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Privacy,TRUE,FALSE,FALSE,https://www.dropbox.com/scl/fi/4hyh6wvmopn19e34s2crl/Make_facebook_your_facebook_Privacy_Check_Up.png?dl=0&oref=e&r=AA_4LDifU-BrzQWoV2R4EBtgH3uEGrlipD8aAPrNclCczAS-jn9nZyaoHUGUexwR2UOcBrGOqiSVpw_qRcPA-UfkD9Tnk_Gev8MtHN6iHtpyGJWd7Z-nFzT5wVTIZ9Dvd9JSxndTOlvSBskJGlUO_WbLqX289B6xrIZVWuu-ugyxuJ6u7fCdYzRtncwmZCYn91s&sm=1,,,
Check Your Privacy Settings,Check Your Privacy Settings,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Poster,English,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Privacy,TRUE,FALSE,FALSE,https://www.dropbox.com/scl/fi/bovmsl2ho05v2o0ts2xfp/Make_facebook_your_facebook_Check_Your_Privacy.png?dl=0&oref=e&r=AA_UDZ-CG4QXWJ-mvjWpYxSgbWcGts-B5cV-WB2pzkYC79BLGSpEcpT_c7IzMpqChHKVw4fuQs5dWERQZ7xtymfPACKcJ-vd88gZlyECwXciCTFt31FNSljUP4UFJRw1ZIHkDifOmvPHFyZKiN75skUjBkGn1kty4VQrZdWb5fe8xWUrRlmMHiCsONdYVKRV3SM&sm=1,,,
Cover Page - Here's a Guide,Cover Page - Here's a Guide,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Poster,English,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Privacy,TRUE,FALSE,FALSE,https://www.dropbox.com/scl/fi/zywogkknc28ftjjwqr8m1/Make_facebook_your_facebook_1.png?dl=0&oref=e&r=AA9jcfgSBs2uImr3vYlgzyLBHNPete28JNHHt-2Mu-9S6UdmJoa5qWAXtFy3GtDqBLagqEByEOS4irbviMJvNhHZLqm_Mf64VIq2wcl4pM2CvGYgp0VWgzQLPI8JhOJ45onZcj5v7UYFG2BRff7uuWTlpnukzLwfI4urYbrv7r5vAyp7RvqafsGLUW22Jjrd0PQ&sm=1,,,
You Are in Control,You Are in Control,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Poster,English,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Privacy,TRUE,FALSE,FALSE,https://www.dropbox.com/scl/fi/f5xcuu5mkzwq44ox5yyd4/Make_facebook_your_facebook_You_Are_In_Control.png?dl=0&oref=e&r=AA-eCq4JM754OdgJ983RXYfGWqVKugD41-LBJSLj_CqoysMdexZYt_nKWQM785PXlaGcHoM54XRy8FQqABf2cg6FwOCkl4KGAuBFfjfz8idlwfPQDFMG7mVVC3osqiMBi42r2W6yC920UOWiB8APVxvDr51ecuJrO1jo3JDnaDqn3l_9IAIeSfwQ2nz8RgWAJqQ&sm=1,,,
Spread Joy Not Rumors - Whatsapp,Spread Joy Not Rumors - Whatsapp,,Dessy,Indonesia,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,English,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Misinformation,TRUE,FALSE,FALSE,https://www.dropbox.com/s/03bx4pdx8srcjcm/WA_Print_Indonesian_test_v3.pdf?dl=0,,,
NGO Booklet (2017),NGO Booklet,01-01-2017,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Booklet,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Community Building,TRUE,FALSE,FALSE,https://www.dropbox.com/s/dvt815u0bg6zbuq/Nonprofit%20Marketing%20Guide_v5_ONLINE_id_ID.pdf?dl=0,,,
Prepare and Respond Guide on Disaster Response (2019),Prepare and Respond Guide on Disaster Response (2019),,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Booklet,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Crisis Response,TRUE,FALSE,FALSE,https://drive.google.com/drive/folders/1O69w5-TDVij8npQtAhCEfM6ODIaBurpi,,,
Social Econ  Impact Indonesia 2019,Social Econ Impact Indonesia,01-01-2019,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Report,Bahasa Indonesia,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Company,TRUE,FALSE,FALSE,https://www.dropbox.com/s/rxelij95sfkul6h/FB%20Bahasa%20Reports_Socioeconomic%20Impacts_20032020.pdf?dl=0,,,
Social Econ  Impact Indonesia 2019,Social Econ Impact Indonesia,01-01-2019,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Report,English,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,Company,TRUE,FALSE,FALSE,https://www.dropbox.com/s/dur2qwhq40nk4gb/FB%20Reports_Socioeconomic%20Impacts_20032020.pdf?dl=0,,,
Diah - Women entrepreneurship,Diah - Women entrepreneurship,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,https://www.dropbox.com/s/m5s6bj467qyvkkw/FBINDO_DIAH_ONLINE%20%28261217%29.mp4?dl=0,,,
Choirul - Women entrepreneurship,Choirul - Women entrepreneurship,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,https://www.dropbox.com/s/wuzlxeze5r7b37r/FBINDO_IRUL_ONLINE%20%28261217%29.mp4?dl=0,,,
Angkie - Women entrepreneurship,Angkie - Women entrepreneurship,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,,FALSE,TRUE,FALSE,,https://shemeansbusiness.fb.com/stories/temui-angkie/,x,https://shemeansbusiness.fb.com/stories/temui-angkie/
Aulia - Women entrepreneurship,Aulia - Women entrepreneurship,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,https://www.dropbox.com/s/qe18puzkr8oczat/%23shemeansbusiness_Ollie%20BahasaIndonesia_Subs%20APR13_1900_h264.mov?dl=0,,,
Anggie - Women entrepreneurship,Anggie - Women entrepreneurship,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,,FALSE,TRUE,FALSE,,https://shemeansbusiness.fb.com/stories/temui-anggie/,x,https://shemeansbusiness.fb.com/stories/temui-anggie/
Ligwina - Women entrepreneurship,Ligwina - Women entrepreneurship,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,,FALSE,TRUE,FALSE,,https://shemeansbusiness.fb.com/stories/temui-ligwina/,x,https://shemeansbusiness.fb.com/stories/temui-ligwina/
Nilamsari - Women entrepreneurship,Nilamsari - Women entrepreneurship,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,,FALSE,TRUE,FALSE,,https://shemeansbusiness.fb.com/stories/temui-nilamsari/,x,https://shemeansbusiness.fb.com/stories/temui-nilamsari/
Dea Valencia - Women entrepreneurship / Job Creation / Social Impact,Dea Valencia - Women entrepreneurship / Job Creation / Social Impact,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,https://drive.google.com/open?id=1u6l4Q_GhgeE1GxZhZTrg4xKD_0aPdpOf,,,
Du'Anyam - Job Creation,Du'Anyam - Job Creation,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,https://www.dropbox.com/s/iov2i48mwbomdw0/DU%27ANYAM%20%28VIDEO%201%29.mp4?dl=0,,,
Indah Mutiara Lombok (SMB) - East Indonesia,Indah Mutiara Lombok (SMB) - East Indonesia,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,https://drive.google.com/open?id=1sPQZWgGpYrEZq_FMEEaeB28NXy4jr-wY,,,
Biro Humas dan Protokol NTB (Government) - East Indonesia,Biro Humas dan Protokol NTB (Government) - East Indonesia,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,https://drive.google.com/open?id=1JaSuo6rnICDSWwX4alBJ7hVc_TO5ZVjx,,,
Bank Sampah Bintang Sejahtera (Community) - East Indonesia,Bank Sampah Bintang Sejahtera (Community) - East Indonesia,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,https://drive.google.com/open?id=1e-5fNHRAgy9Wrt1upf7o2AFSIIe1QS1l,,,
Philippine Red Cross / May Layugan,Philippine Red Cross / May Layugan,,Chris,Philippines,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,English,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,https://drive.google.com/file/d/1socafsgJgnD41Kh794en4gGZhZO6Xqyb/view?ts=5d396dc4,,,
Jocyl,Jocyl,04-11-2019,Chris,Philippines,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,English,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,https://drive.google.com/open?id=13LGfs0IGsbv8AmKLbebIFL3Se-8y7Cuo,,x,https://drive.google.com/file/d/1bZJaKq_cvlu2wX6KxFFODTObl9NG3EJI/view?usp=sharing
Balay Tablea (Catherine),Balay Tablea (Catherine),28-06-2019,Chris,Philippines,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,English,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,https://drive.google.com/open?id=1kcJ3dWRdOh3yxRbbOzhfieovTRUAuMq3,,x,https://drive.google.com/file/d/1Z1UhUgZFBSKahGDhPB9Sw9jNzrAfqevF/view?usp=sharing
