"Use naming convention - ""asset name, date of last update (DD/MM/YY), author"". For ex, ""Brochure- Safety at Facebook, 06/11/19, Dessy""",Asset Name,Date,Author,"For multiple countries, list all and separate by comma. (For ex, Indonesia, Philippines, Singapore.) For regional assets, list ""APAC""",One Pager,Report,Case study,Presentation,Presentation templat,Logo/Brand Guidelines,Brochure,Video,Case Study-Video,Case Study - Written,Case Study - Micro business,Case Study - Small business,Case Study - Women entrepreneur,Narrative/ key messaging,Other (type your response),"For multiple languages and sub-titles, list and all and separate by comma. (For ex, Bahasa Indonesia, English, Mandarin)",SheMeans Business,Boost,We Think Digital,Research,Other (type your response),Economic impact,Social impact,Digital citizenship/ Digital skills,Other (type your response),Internal,External,"Permission given?
",,,,
Laju Digital Manado,Laju Digital Manado,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,https://www.dropbox.com/s/tsskr8sg84ibsol/Laju%20Digital%20Manado%20V2.m4v?dl=0,,,
Laju Digital Kendari ,Laju Digital Kendari,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,https://www.dropbox.com/s/1qixkl5od8g7akv/Laju%20Digital%20Kendari%20V2.m4v?dl=0,,,
Laju Digital Jakarta,Laju Digital Jakarta,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,https://www.dropbox.com/s/jl704xse8cuop9y/Laju%20Digital%20Jakarta_FINAL.mp4?dl=0,,,
Laju Digital Bandung,Laju Digital Bandung,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,
Laju Digital Yogyakarta,Laju Digital Yogyakarta,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,https://www.dropbox.com/s/2xqr71lu2ndchs4/Facebook%20Laju%20Digital%20Yogyakarta_FINAL.mp4?dl=0,,,
Laju Digital Surabaya,Laju Digital Surabaya,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,n/a (testimony videos only),,,
Laju Digital Medan,Laju Digital Medan,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,n/a (testimony videos only),,,
Laju Digital Sizzle Reel,Laju - Digital Sizzle Reel,,Dessy,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bahasa Indonesia,FALSE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,https://www.dropbox.com/s/xexagd8vu5h4nzj/FINAL%20DELIVERY_LAJU%20DIGITAL_IND%20%28VIDEO%202%29.mp4?dl=0,,,
Diah - Women entrepreneurship,Diah - Women entrepreneurship,,Dessy,Indonesia,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,,Bahasa Indonesia,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,TRUE,,FALSE,FALSE,FALSE,https://www.dropbox.com/s/m5s6bj467qyvkkw/FBINDO_DIAH_ONLINE%20%28261217%29.mp4?dl=0,,,
Choirul - Women entrepreneurship,Choirul - Women entrepreneurship,,Dessy,Indonesia,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,,Bahasa Indonesia,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,TRUE,,FALSE,FALSE,FALSE,https://www.dropbox.com/s/wuzlxeze5r7b37r/FBINDO_IRUL_ONLINE%20%28261217%29.mp4?dl=0,,,
Angkie - Women entrepreneurship,Angkie - Women entrepreneurship,,Dessy,Indonesia,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,Bahasa Indonesia,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,TRUE,,FALSE,FALSE,TRUE,,https://shemeansbusiness.fb.com/stories/temui-angkie/,x,https://shemeansbusiness.fb.com/stories/temui-angkie/
